Bar,Date,Time,Open,High,Low,Close,CCI(20C),%K(141),%D(3)
1,11/12/07,09:30,145475,145550,145025,145050,,,
2,11/12/07,09:35,145050,145775,145050,145725,,,
3,11/12/07,09:40,145700,146050,145600,145850,,,
4,11/12/07,09:45,145875,146250,145800,146075,,,
5,11/12/07,09:50,146075,146200,145825,146025,,,
6,11/12/07,09:55,146025,146150,145825,145900,,,
7,11/12/07,10:00,145900,145950,145500,145600,,,
8,11/12/07,10:05,145625,145750,145300,145350,,,
9,11/12/07,10:10,145325,145675,145275,145300,,,
10,11/12/07,10:15,145300,145750,145275,145675,,,
11,11/12/07,10:20,145675,145975,145500,145925,,,
12,11/12/07,10:25,145900,146025,145750,145900,,,
13,11/12/07,10:30,145900,146150,145800,145900,,,
14,11/12/07,10:35,145900,146025,145750,145950,,,
15,11/12/07,10:40,145950,146450,145950,146350,,92.85,
16,11/12/07,10:45,146350,146450,146200,146225,,80.85,
17,11/12/07,10:50,146200,146325,146125,146150,,74.46,82.72
18,11/12/07,10:55,146150,146425,146125,146350,,91.48,82.26
19,11/12/07,11:00,146350,146600,146225,146450,,88.67,84.87
20,11/12/07,11:05,146450,146775,146425,146650,,91.66,90.61
21,11/12/07,11:10,146650,146850,146625,146700,,90.47,90.27
22,11/12/07,11:15,146700,146750,146475,146525,,79.36,87.16
23,11/12/07,11:20,146550,146575,146450,146525,,79.36,83.06
24,11/12/07,11:25,146500,146775,146500,146750,,92.59,83.77
25,11/12/07,11:30,146725,146800,146500,146625,,79.54,83.83
26,11/12/07,11:35,146600,146625,146325,146475,,65.9,79.34
27,11/12/07,11:40,146475,146525,146300,146425,,61.36,68.93
28,11/12/07,11:45,146425,146475,146275,146300,,38.88,55.38
29,11/12/07,11:50,146325,146325,146050,146100,,6.25,35.5
30,11/12/07,11:55,146100,146225,146025,146175,,18.18,21.1
31,11/12/07,12:00,146175,146400,146150,146375,,42.42,22.28
32,11/12/07,12:05,146375,146450,146225,146375,,42.42,34.34
33,11/12/07,12:10,146375,146400,146225,146275,,30.3,38.38
34,11/12/07,12:15,146275,146500,146175,146425,,48.48,40.4
35,11/12/07,12:20,146425,146725,146400,146600,,74.19,50.99
36,11/12/07,12:25,146575,146650,146450,146600,,74.19,65.62
37,11/12/07,12:30,146625,146800,146600,146775,,96.77,81.72
38,11/12/07,12:35,146775,146925,146700,146750,,80.55,83.84
39,11/12/07,12:40,146750,146825,146675,146675,,72.22,83.18
40,11/12/07,12:45,146675,146725,146525,146575,,61.11,71.29
41,11/12/07,12:50,146550,146600,146325,146450,,47.22,60.18
42,11/12/07,12:55,146450,146475,146250,146325,,33.33,47.22
43,11/12/07,13:00,146325,146400,146175,146375,,38.88,39.81
44,11/12/07,13:05,146350,146375,146125,146150,,3.12,25.11
45,11/12/07,13:10,146150,146275,146050,146225,,20,20.67
