Bar,Date,Time,Open,High,Low,Close,Vol,ADX(1414),+DI(1414),-DI(1414)
1,12/06/05,00:00,88.56,89.84,88.56,89.14,4871500,,,
2,12/07/05,00:00,89.00,89.92,88.45,88.72,5284000,,,
3,12/08/05,00:00,88.57,88.91,86.67,87.50,5786900,,,
4,12/09/05,00:00,86.80,87.10,86.33,86.97,6464700,,,
5,12/12/05,00:00,87.01,87.35,85.76,85.96,6044200,,,
6,12/13/05,00:00,84.50,84.90,83.50,83.71,12545300,,,
7,12/14/05,00:00,83.65,83.95,82.95,83.13,7161800,,,
8,12/15/05,00:00,82.88,83.63,82.75,83.53,6155900,,,
9,12/16/05,00:00,83.89,84.00,83.00,83.37,7398200,,,
10,12/19/05,00:00,83.23,83.60,82.65,82.76,4984500,,,
11,12/20/05,00:00,82.95,83.10,82.06,82.48,5276200,,,
12,12/21/05,00:00,82.46,84.00,82.46,83.12,6846800,,,
13,12/22/05,00:00,82.61,83.23,82.30,83.22,6573600,,,
14,12/23/05,00:00,84.00,84.20,83.39,83.48,3616200,,13.35,39.88
15,12/27/05,00:00,83.48,84.50,82.89,82.99,4389600,,12.05,39.02
16,12/28/05,00:00,83.10,83.57,82.80,83.04,4104600,,11.48,37.72
17,12/29/05,00:00,82.80,83.06,82.22,82.40,3958400,,10.87,39.38
18,12/30/05,00:00,81.85,82.49,81.56,82.20,5449000,,10.22,41.26
19,01/03/06,00:00,82.45,82.55,80.81,82.06,11715200,,9.13,41.46
20,01/04/06,00:00,82.20,82.50,81.33,81.95,9837800,,8.47,38.47
21,01/05/06,00:00,81.40,82.90,81.00,82.50,7213500,,9.88,34.17
22,01/06/06,00:00,83.95,85.03,83.41,84.95,8197300,,20.14,29.45
23,01/09/06,00:00,83.90,84.25,83.38,83.73,6857800,,18.44,27.12
24,01/10/06,00:00,83.15,84.12,83.12,84.07,5701000,,17.43,27.06
25,01/11/06,00:00,84.37,84.81,83.40,84.17,5776400,,19.85,24.98
26,01/12/06,00:00,83.82,83.96,83.40,83.57,4924100,,18.99,23.9
27,01/13/06,00:00,83.00,83.45,82.50,83.17,6921700,,17.84,27.56
28,01/17/06,00:00,82.80,83.16,82.54,83.00,8758800,,17.17,26.53
29,01/18/06,00:00,84.00,84.70,83.52,83.80,11031500,,24.32,23.95
30,01/19/06,00:00,84.14,84.39,83.02,83.09,6483600,,22.42,24.93
31,01/20/06,00:00,83.04,83.05,81.25,81.36,8614500,,20.15,32.14
32,01/23/06,00:00,81.33,81.92,80.92,81.41,6114100,,19.03,32.19
33,01/24/06,00:00,81.39,82.15,80.80,80.85,6069000,,18.88,29.77
